UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,CATEGORIA,
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,A,
10201,AMAZONAS,BAGUA,BAGUA,A,
10701,AMAZONAS,UTCUBAMBA,UTCUBAMBA -BAGUA GRANDE,A,
20101,ANCASH,HUARAZ,HUARAZ,A,
20801,ANCASH,CASMA,CASMA,A,
21101,ANCASH,HUARMEY,HUARMEY,A,
21801,ANCASH,SANTA,SANTA -CHIMBOTE,A,
30101,APURIMAC,ABANCAY,ABANCAY,A,
30201,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,A,
40101,AREQUIPA,AREQUIPA,AREQUIPA,A,
40701,AREQUIPA,ISLAY,ISLAY -MOLLENDO,A,
50101,AYACUCHO,HUAMANGA,HUAMANGA - AYACUCHO,A,
50401,AYACUCHO,HUANTA,HUANTA,A,
60101,CAJAMARCA,CAJAMARCA,CAJAMARCA,A,
60401,CAJAMARCA,CHOTA,CHOTA,A,
60601,CAJAMARCA,CUTERVO,CUTERVO,A,
60801,CAJAMARCA,JAEN,JAEN,A,
70101,PROV.,PROV.CONSTITUCIONAL DEL CALLAO,CALLAO,A,
80101,CUSCO,CUSCO,CUSCO,A,
80601,CUSCO,CANCHIS,CANCHIS -SICUANI,A,
80801,CUSCO,ESPINAR,ESPINAR,A,
80901,CUSCO,LA CONVENCION,LA CONVENCION - SANTA ANA,A,
90101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,A,
100101,HUANUCO,HUANUCO,HUANUCO,A,
100601,HUANUCO,LEONCIO PRADO,LEONCIO PRADO - RUPA-RUPA,A,
110101,ICA,ICA,ICA,A,
110201,ICA,CHINCHA,CHINCHA -CHINCHA ALTA,A,
110301,ICA,NASCA,NASCA,A,
110501,ICA,PISCO,PISCO,A,
120101,JUNIN,HUANCAYO,HUANCAYO,A,
120301,JUNIN,CHANCHAMAYO,CHANCHAMAYO,A,
120401,JUNIN,JAUJA,JAUJA,A,
120601,JUNIN,SATIPO,SATIPO,A,
120701,JUNIN,TARMA,TARMA,A,
120801,JUNIN,YAULI,YAULI -LA OROYA,A,
120901,JUNIN,CHUPACA,CHUPACA,A,
130101,LA LIBERTAD,TRUJILLO,TRUJILLO,A,
130401,LA LIBERTAD,CHEPEN,CHEPEN,A,
130901,LA LIBERTAD,SANCHEZ CARRION,SANCHEZ CARRION - HUAMACHUCO,A,
131201,LA LIBERTAD,VIRU,VIRU,A,
140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,A,
140201,LAMBAYEQUE,FERREÑAFE,FERREÑAFE,A,
140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,A,
150101,LIMA,LIMA,MUNICIPALIDAD METROPOLITANA DE,A,
150201,LIMA,BARRANCA,BARRANCA,A,
150501,LIMA,CAÑETE,CAÑETE -SAN VICENTE DE CAÑETE,A,
150601,LIMA,HUARAL,HUARAL,A,
150801,LIMA,HUAURA,HUAURA -HUACHO,A,
160101,LORETO,MAYNAS,MAYNAS -IQUITOS,A,
160201,LORETO,ALTO AMAZONAS,ALTO AMAZONAS - YURIMAGUAS,A,
160501,LORETO,REQUENA,REQUENA,A,
170101,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,A,
180101,MOQUEGUA,MARISCAL NIETO,MARISCAL NIETO - MOQUEGUA,A,
180301,MOQUEGUA,ILO,ILO,A,
190101,PASCO,PASCO,PASCO - CHAUPIMARCA,A,
200101,PIURA,PIURA,PIURA,A,
200401,PIURA,MORROPON,MORROPON - CHULUCANAS,A,
200501,PIURA,PAITA,PAITA,A,
200601,PIURA,SULLANA,SULLANA,A,
200701,PIURA,TALARA,TALARA -PARIÑAS,A,
200801,PIURA,SECHURA,SECHURA,A,
210101,PUNO,PUNO,PUNO,A,
210201,PUNO,AZANGARO,AZANGARO,A,
210501,PUNO,EL COLLAO,EL COLLAO -ILAVE,A,
210801,PUNO,MELGAR,MELGAR -AYAVIRI,A,
211101,PUNO,SAN ROMAN,SAN ROMAN -JULIACA,A,
220101,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,A,
220601,SAN MARTIN,MARISCAL CACERES,MARISCAL CACERES - JUANJUI,A,
220801,SAN MARTIN,RIOJA,RIOJA,A,
220901,SAN MARTIN,SAN MARTIN,SAN MARTIN - TARAPOTO,A,
230101,TACNA,TACNA,TACNA,A,
240101,TUMBES,TUMBES,TUMBES,A,
240301,TUMBES,ZARUMILLA,ZARUMILLA,A,
250101,UCAYALI,CORONEL PORTILLO,CORONEL PORTILLO - CALLARIA,A,
10301,AMAZONAS,BONGARA,BONGARA -JUMBILLA,B,
10401,AMAZONAS,CONDORCANQUI,CONDORCANQUI - NIEVA,B,
10501,AMAZONAS,LUYA,LUYA -LAMUD,B,
10601,AMAZONAS,RODRIGUEZ DE MENDOZA,RODRIGUEZ DE MENDOZA -SAN,B,
20201,ANCASH,AIJA,AIJA,B,
20301,ANCASH,ANTONIO RAIMONDI,ANTONIO RAYMONDI - LLAMELLIN,B,
20401,ANCASH,ASUNCION,ASUNCION -CHACAS,B,
20501,ANCASH,BOLOGNESI,BOLOGNESI - CHIQUIAN,B,
20601,ANCASH,CARHUAZ,CARHUAZ,B,
20701,ANCASH,CARLOS FERMIN FITZCARRALD,CARLOS F. FITZCARRALD -SAN,B,
20901,ANCASH,CORONGO,CORONGO,B,
21001,ANCASH,HUARI,HUARI,B,
21201,ANCASH,HUAYLAS,HUAYLAS -CARAZ,B,
21301,ANCASH,MARISCAL LUZURIAGA,MARISCAL LUZURIAGA -,B,
21401,ANCASH,OCROS,OCROS,B,
21501,ANCASH,PALLASCA,PALLASCA -CABANA,B,
21601,ANCASH,POMABAMBA,POMABAMBA,B,
21701,ANCASH,RECUAY,RECUAY,B,
21901,ANCASH,SIHUAS,SIHUAS,B,
22001,ANCASH,YUNGAY,YUNGAY,B,
30301,APURIMAC,ANTABAMBA,ANTABAMBA,B,
30401,APURIMAC,AYMARAES,AYMARAES - CHALHUANCA,B,
30501,APURIMAC,COTABAMBAS,COTABAMBAS - TAMBOBAMBA,B,
30601,APURIMAC,CHINCHEROS,CHINCHEROS,B,
30701,APURIMAC,GRAU,GRAU - CHUQUIBAMBILLA,B,
40201,AREQUIPA,CAMANA,CAMANA,B,
40301,AREQUIPA,CARAVELI,CARAVELI,B,
40401,AREQUIPA,CASTILLA,CASTILLA -APLAO,B,
40501,AREQUIPA,CAYLLOMA,CAYLLOMA -CHIVAY,B,
40601,AREQUIPA,CONDESUYOS,CONDESUYOS - CHUQUIBAMBA,B,
40801,AREQUIPA,LA UNION,LA UNION - COTAHUASI,B,
50201,AYACUCHO,CANGALLO,CANGALLO,B,
50301,AYACUCHO,HUANCA SANCOS,HUANCA SANCOS - SANCOS,B,
50501,AYACUCHO,LA MAR,LA MAR -SAN MIGUEL,B,
50601,AYACUCHO,LUCANAS,LUCANAS -PUQUIO,B,
50701,AYACUCHO,PARINACOCHAS,PARINACOCHAS - CORACORA,B,
50801,AYACUCHO,PAUCAR DEL SARA SARA,PAUCAR DEL SARA SARA -PAUSA,B,
50901,AYACUCHO,SUCRE,SUCRE - QUEROBAMBA,B,
51001,AYACUCHO,VICTOR FAJARDO,VICTOR FAJARDO - HUANCAPI,B,
51101,AYACUCHO,VILCAS HUAMAN,VILCAS HUAMAN,B,
60201,CAJAMARCA,CAJABAMBA,CAJABAMBA,B,
60301,CAJAMARCA,CELENDIN,CELENDIN,B,
60501,CAJAMARCA,CONTUMAZA,CONTUMAZA,B,
60701,CAJAMARCA,HUALGAYOC,HUALGAYOC - BAMBAMARCA,B,
60901,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,B,
61001,CAJAMARCA,SAN MARCOS,SAN MARCOS -PEDRO GALVEZ,B,
61101,CAJAMARCA,SAN MIGUEL,SAN MIGUEL,B,
61201,CAJAMARCA,SAN PABLO,SAN PABLO,B,
61301,CAJAMARCA,SANTA CRUZ,SANTA CRUZ,B,
80201,CUSCO,ACOMAYO,ACOMAYO,B,
80301,CUSCO,ANTA,ANTA,B,
80401,CUSCO,CALCA,CALCA,B,
80501,CUSCO,CANAS,CANAS -YANAOCA,B,
80701,CUSCO,CHUMBIVILCAS,CHUMBIVILCAS - SANTO TOMAS,B,
81001,CUSCO,PARURO,PARURO,B,
81101,CUSCO,PAUCARTAMBO,PAUCARTAMBO,B,
81201,CUSCO,QUISPICANCHIS,QUISPICANCHI - URCOS,B,
81301,CUSCO,URUBAMBA,URUBAMBA,B,
90201,HUANCAVELICA,ACOBAMBA,ACOBAMBA,B,
90301,HUANCAVELICA,ANGARAES,ANGARAES -LIRCAY,B,
90401,HUANCAVELICA,CASTROVIRREYNA,CASTROVIRREYNA,B,
90501,HUANCAVELICA,CHURCAMPA,CHURCAMPA,B,
90601,HUANCAVELICA,HUAYTARA,HUAYTARA,B,
90701,HUANCAVELICA,TAYACAJA,TAYACAJA -PAMPAS,B,
100201,HUANUCO,AMBO,AMBO,B,
100301,HUANUCO,DOS DE MAYO,DOS DE MAYO -LA UNION,B,
100401,HUANUCO,HUACAYBAMBA,HUACAYBAMBA,B,
100501,HUANUCO,HUAMALIES,HUAMALIES -LLATA,B,
100701,HUANUCO,MARAÑON,MARAÑON - HUACRACHUCO,B,
100801,HUANUCO,PACHITEA,PACHITEA -PANAO,B,
100901,HUANUCO,PUERTO INCA,PUERTO INCA,B,
101001,HUANUCO,LAURICOCHA,LAURICOCHA -JESUS,B,
101101,HUANUCO,YAROWILCA,YAROWILCA - CHAVINILLO,B,
110401,ICA,PALPA,PALPA,B,
120201,JUNIN,CONCEPCION,CONCEPCION,B,
120501,JUNIN,JUNIN,JUNIN,B,
