MUNICIPALIDAD_RAW,CATEGORIA,MUNICIPALIDAD_LIMPIA
M. D. DE CHETO,F,CHETO
M. D. DE LEVANTO,F,LEVANTO
M. D. DE CHISQUILLA,F,CHISQUILLA
M. D. DE SHIPASBAMBA,F,SHIPASBAMBA
M. D. DE LONYA CHICO,F,LONYA CHICO
M. D. DE MARIA,F,MARIA
M. D. DE AQUIA,F,AQUIA
M. D. DE YANAC,F,YANAC
M. D. DE ACAS,F,ACAS
M. D. DE LACABAMBA,F,LACABAMBA
M. D. DE PALLASCA,F,PALLASCA
M. D. DE TAUCA,F,TAUCA
M. D. DE PAMPAS CHICO,F,PAMPAS CHICO
M. D. DE ACOBAMBA,F,ACOBAMBA
M. D. DE ALFONSO UGARTE,F,ALFONSO UGARTE
M. D. DE CHINGALPO,F,CHINGALPO
M. D. DE CAPAYA,F,CAPAYA
M. D. DE SAÑAYCA,F,SANAYCA
M. D. DE CHOCO,F,CHOCO
M. D. DE MACHAGUAY,F,MACHAGUAY
M. D. DE UÑON,F,UNON
M. D. DE HUAMBO,F,HUAMBO
M. D. DE TORO,F,TORO
M. D. DE SAISA,F,SAISA
M. D. DE PUYUSCA,F,PUYUSCA
M. D. DE COLTA,F,COLTA
M. D. DE CARHUANCA,F,CARHUANCA
M. D. DE JORGE CHAVEZ,F,JORGE CHAVEZ
M. D. DE PION,F,PION
M. D. DE SEXI,F,SEXI
M. D. DE IZCUCHACA,F,IZCUCHACA
M. D. DE PILCHACA,F,PILCHACA
M. D. DE HUANCA HUANCA,F,HUANCA HUANCA
M. D. DE JULCAMARCA,F,JULCAMARCA
M. D. DE AURAHUA,F,AURAHUA
M. D. DE HUAMATAMBO,F,HUAMATAMBO
M. D. DE TANTARA,F,TANTARA
M. D. DE LA MERCED,F,LA MERCED
M. D. SAN MIGUEL DE MAYOCC,F,SAN MIGUEL DE MAYOCC
M. D. STGO. DE QUIRAHUARA,F,STGO DE QUIRAHUARA
M. D. DE BAÑOS,F,BANOS
M. D. DE SAN FRANCISCO DE ASIS,F,SAN FRANCISCO DE ASIS
M. D. DE TIBILLO,F,TIBILLO
M. D. DE CHACAPAMPA,F,CHACAPAMPA
M. D. DE CULLHUAS,F,CULLHUAS
M. D. DE QUICHUAY,F,QUICHUAY
M. D. DE MASMA,F,MASMA
M. D. DE PACA,F,PACA
M. D. DE PANCAN,F,PANCAN
M. D. DE ONDORES,F,ONDORES
M. D. DE PALCAMAYO,F,PALCAMAYO
M. D. DE UCHUMARCA,F,UCHUMARCA
M. D. DE PACARAN,F,PACARAN
M. D. DE SUMBILCA,F,SUMBILCA
M. D. DE LAHUAYTAMBO,F,LAHUAYTAMBO
M. D. SAN ANDRES DE TUPICOCHA,F,SAN ANDRES DE TUPICOCHA
M. D. DE CHECRAS,F,CHECRAS
M. D. DE SANTA LEONOR,F,SANTA LEONOR
M. D. DE AYAUCA,F,AYAUCA
M. D. DE HUANGASCAR,F,HUANGASCAR
M. D. DE QUINCHES,F,QUINCHES
M. D. DE TUPE,F,TUPE
M. D. DE VIÑAC,F,VINAC
M. D. DE INAHUAYA,F,INAHUAYA
M. D. DE ROSA PANDURO,F,ROSA PANDURO
M. D. DE PALCA,F,PALCA
M. D. DE PARATIA,F,PARATIA
M. D. DE TINICACHI,F,TINICACHI
M. D. DE UNICACHI,F,UNICACHI
M. D. DE AGUA BLANCA,F,AGUA BLANCA
M. D. DE SACANCHE,F,SACANCHE
M. D. DE PAPAPLAYA,F,PAPAPLAYA
M. D. HEROES ALBARRACIN,F,HEROES ALBARRACIN
M. D. DE HUANCAS,E,HUANCAS
M. D. DE MAGDALENA,E,MAGDALENA
M. D. MARISCAL CASTILLA,E,MARISCAL CASTILLA
M. D. DE MONTEVIDEO,E,MONTEVIDEO
M. D. DE SAN FRANCISCO,E,SAN FRANCISCO
M. D. DE LUYA VIEJO,E,LUYA VIEJO
M. D. DE COCHAMAL,E,COCHAMAL
M. D. DE ABELARDO PARDO,E,ABELARDO PARDO
M. D. DE CANIS,E,CANIS
M. D. DE MANGAS,E,MANGAS
M. D. DE PACLLON,E,PACLLON
M. D. DE YUPAN,E,YUPAN
M. D. DE CAJAMARQUILLA,E,CAJAMARQUILLA
M. D. DE LLIPA,E,LLIPA
M. D. SAN CRISTOBAL DE RAJAN,E,SAN CRISTOBAL DE RAJAN
M. D. DE SANTIAGO DE CHILCAS,E,SANTIAGO DE CHILCAS
M. D. DE POMACOCHA,E,POMACOCHA
M. D. SAN JUAN DE CHACÑA,E,SAN JUAN DE CHACNA
M. D. DE VIRUNDO,E,VIRUNDO
M. D. DE AYO,E,AYO
M. D. DE MACA,E,MACA
M. D. DE CABANA,E,CABANA
M. D. DE MARCABAMBA,E,MARCABAMBA
M. D. DE BELEN,E,BELEN
M. D. DE SANTIAGO DE PAUCARAY,E,SANTIAGO DE PAUCARAY
M. D. DE APONGO,E,APONGO
M. D. DE SARHUA,E,SARHUA
M. D. DE CONAYCA,E,CONAYCA
M. D. DE HUAYLLAHUARA,E,HUAYLLAHUARA
M. D. MARISCAL CÁCERES,E,MARISCAL C CERES
M. D. DE QUEROPALCA,E,QUEROPALCA
M. D. DE CARHUACALLANGA,E,CARHUACALLANGA
M. D. DE ACO,E,ACO
M. D. DE CANCHAYLLO,E,CANCHAYLLO
M. D. DE HUARIPAMPA,E,HUARIPAMPA
M. D. DE MARCO,E,MARCO
M. D. DE MUQUI,E,MUQUI
M. D. DE MUQUIYAUYO,E,MUQUIYAUYO
M. D. DE UCUNCHA,E,UCUNCHA
M. D. DE HUAROS,E,HUAROS
M. D. DE LACHAQUI,E,LACHAQUI
M. D. DE LAMPIAN,E,LAMPIAN
M. D. DE SAN MIGUEL DE ACOS,E,SAN MIGUEL DE ACOS
M. D. DE 27 NOVIEMBRE,E,27 NOVIEMBRE
M. D. DE CALLAHUANCA,E,CALLAHUANCA
M. D. DE HUACHUPAMPA,E,HUACHUPAMPA
M. D. DE HUANZA,E,HUANZA
M. D. DE SAN PEDRO DE LARAOS,E,SAN PEDRO DE LARAOS
M. D. DE SAN DAMIAN,E,SAN DAMIAN
M. D. SAN JUAN DE TANTARANCHE,E,SAN JUAN DE TANTARANCHE
M. D. DE SAN PEDRO DE CASTA,E,SAN PEDRO DE CASTA
M. D. SAN PEDRO DE HUANCAYRE,E,SAN PEDRO DE HUANCAYRE
M. D. SANTIAGO DE ANCHUCAYA,E,SANTIAGO DE ANCHUCAYA
M. D. SANTIAGO DE TUNA,E,SANTIAGO DE TUNA
M. D. DE PACHANGARA,E,PACHANGARA
M. D. DE HONGOS,E,HONGOS
M. D. DE HUAMPARA,E,HUAMPARA
M. D. DE HUANCAYA,E,HUANCAYA
M. D. DE HUAÑEC,E,HUANEC
M. D. DE QUINOCAY,E,QUINOCAY
